AF, "visa required"
AL, "visa-free"
DZ, "visa required"
AD, "visa required"
AO, "visa required"
AG, "visa-free"
AR, "visa-free"
AM, "visa-free"
AU, "visa required / eVisa"
AT, "visa required"
AZ, "visa-free"
BS, "visa-free"
BH, "visa on arrival"
BD, "visa on arrival"
BB, "visa-free"
BY, "visa-free"
BE, "visa required"
BZ, "visa required"
BJ, "visa required"
BT, "visa required"
BO, "visa-free"
BA, "visa-free"
BW, "visa-free"
BR, "visa-free"
BN, "visa required"
BG, "visa required"
BF, "visa required"
BI, "visa required"
KH, "visa on arrival / eVisa"
CM, "visa required"
CA, "visa required"
CV, "visa on arrival"
CF, "visa required"
TD, "visa required"
CL, "visa-free"
CN, "visa required"
CO, "visa-free"
KM, "visa on arrival"
CG, "visa required"
CD, "visa required"
CR, "visa-free"
CI, "visa on arrival / eVisa"
HR, "visa required"
CU, "visa-free"
CY, "visa required"
CZ, "visa required"
DK, "visa required"
DJ, "visa on arrival"
DM, "visa on arrival"
DO, "visa-free"
EC, "visa-free"
EG, "visa on arrival"
SV, "visa-free"
GQ, "visa required"
ER, "visa required"
EE, "visa required"
ET, "visa on arrival"
FJ, "visa-free"
FI, "visa required"
FR, "visa required"
GA, "visa required / eVisa"
GM, "visa-free"
GE, "visa-free"
DE, "visa required"
GH, "visa required"
GR, "visa required"
GD, "visa-free"
GT, "visa-free"
GN, "visa required"
GW, "visa on arrival"
GY, "visa-free"
HT, "visa-free"
HN, "visa-free"
HK, "visa-free"
HU, "visa required"
IS, "visa required"
IN, "e-Visa"
ID, "visa-free"
IR, "visa on arrival"
IQ, "visa required"
IE, "visa required"
IL, "visa-free"
IT, "visa required"
JM, "visa-free"
JP, "visa required"
JO, "visa on arrival"
KZ, "visa-free"
KE, "visa on arrival / eVisa"
KI, "visa required"
RK, "visa required"
KW, "visa required"
KG, "visa-free"
LA, "visa-free"
LV, "visa required"
LB, "visa on arrival"
LS, "visa required / eVisa"
LR, "visa required"
LY, "visa required"
LI, "visa required"
LT, "visa required"
LU, "visa required"
MO, "visa-free"
MK, "visa-free"
MG, "visa on arrival"
MW, "visa required"
MY, "visa-free"
MV, "visa on arrival"
ML, "visa required"
MT, "visa required"
MH, "visa on arrival"
MR, "visa on arrival"
MU, "visa-free"
MX, "eTA"
FM, "visa-free"
MD, "visa-free"
MC, "visa required"
MN, "visa-free"
ME, "visa-free"
MA, "visa-free"
MZ, "visa on arrival"
MM, "visa required / eVisa"
NA, "visa-free"
NR, "visa on arrival"
NP, "visa on arrival"
NL, "visa required"
NZ, "visa required"
NI, "visa-free"
NE, "visa required"
NG, "visa required"
KP, "visa required"
NO, "visa required"
OM, "visa required"
PK, "visa required"
PW, "visa on arrival"
PS, "visa-free"
PA, "visa-free"
PG, "visa required"
PY, "visa-free"
PE, "visa-free"
PH, "visa-free"
PL, "visa required"
PT, "visa required"
QA, "Visa waiver on arrival"
RO, "visa required"
RW, "visa required / eVisa"
KN, "visa-free"
LC, "visa-free"
WS, "visa-free"
SM, "visa required"
ST, "visa-free"
SA, "visa required"
SN, "visa-free"
RS, "visa-free"
SC, "visa-free"
SL, "visa required"
SG, "visa required"
SK, "visa required"
SI, "visa required"
SB, "visa required"
SO, "visa required"
ZA, "visa-free"
KR, "visa-free"
SS, "visa required"
ES, "visa required"
LK, "eTA"
VC, "visa-free"
SD, "visa required"
SR, "visa required"
SZ, "visa-free"
SE, "visa required"
CH, "visa required"
SY, "visa required"
TW, "visa required"
TJ, "visa-free"
TZ, "visa on arrival"
TH, "visa-free"
TL, "visa on arrival"
TG, "visa on arrival"
TO, "visa on arrival"
TT, "visa-free"
TN, "visa-free"
TR, "visa-free"
TM, "visa required"
TV, "visa on arrival"
UG, "visa on arrival"
UA, "visa-free"
AE, "visa on arrival"
UK, "visa required"
US, "visa required"
UY, "visa-free"
UZ, "visa-free"
VU, "visa-free"
VA, "visa required"
VE, "visa-free"
VN, "visa-free"
YE, "visa required"
ZM, "visa on arrival"
ZW, "visa on arrival"